CAR_ID,YEAR,MILEAGE,MANUFACTURER
1,1999,92313,8
2,1962,52923,3
3,1954,583,1
4,1983,45924,6
5,1990,81769,12
6,1965,87735,3
7,1991,46846,4
8,1972,73842,1
9,2005,4983,1
10,1997,23490,4
11,1978,42548,2
12,2014,34008,3
13,2014,9141,12
14,1963,35137,6
15,1976,74726,11
16,1981,90931,11
17,1965,95554,7
18,1980,43818,6
19,2004,3303,12
20,1986,41793,5
21,1989,48079,11
22,1968,55800,2
23,1982,69382,3
24,2004,71554,9
25,1990,61887,11
26,1965,98662,7
27,1959,39510,5
28,1965,70500,4
29,1977,59110,13
30,2016,25640,7
31,1953,12934,4
32,2001,62183,7
33,2007,26060,3
34,1999,35551,5
35,2010,35813,3
36,2007,8818,7
37,2005,20383,4
38,2008,24339,14
39,2014,8816,2
40,1980,87849,2
41,2009,6585,1
42,1973,16661,5
43,1951,77300,4
44,1966,61676,12
45,1958,7912,10
46,2002,7532,2
47,1986,70617,10
48,1964,81839,11
49,2017,2790,1
50,1975,65394,9
51,2001,29575,9
52,1989,70785,14
53,1980,93943,9
54,2008,96885,6
55,1970,71,3
56,1999,27390,2
57,1964,11348,11
58,1950,16025,12
59,1976,57684,14
60,1953,26004,10
61,1987,80699,7
62,1997,10640,14
63,1967,40256,1
64,2006,30078,9
65,2010,75781,7
66,1957,13365,7
67,1981,27878,7
68,1967,53283,6
69,1998,97701,11
70,1974,97729,8
71,2008,56420,9
72,1998,43837,9
73,2011,84913,1
74,1976,79205,3
75,1952,24865,9
76,1993,59120,12
77,1953,24675,3
78,2001,51860,10
79,2011,42209,1
80,1973,40106,14
81,1991,21036,13
82,1965,97950,8
83,1989,4151,7
84,2012,4218,7
85,1996,92337,2
86,1968,34549,10
87,2012,46405,11
88,1955,98145,14
89,2015,80039,5
90,1962,42473,7
91,1956,54550,9
92,2008,54999,14
93,2002,27833,6
94,1965,5895,9
95,1967,63917,8
96,1989,79836,12
97,1976,90876,11
98,1956,43071,8
99,2001,31735,4
100,2017,37970,4
101,1994,19486,4
102,2007,79032,1
103,2002,77957,9
104,2005,55485,1
105,1995,970,8
106,1997,27115,12
107,2010,73466,10
108,1972,94616,10
109,1986,92226,1
110,2008,29064,2
111,1994,99289,1
112,2004,33701,9
113,1986,34690,14
114,2011,19327,12
115,1989,98998,8
116,1958,18672,6
117,1953,53057,9
118,2006,850,11
119,1956,79461,14
120,1976,50943,5
121,1962,72400,6
122,1976,84756,6
123,1957,85029,3
124,1975,44812,2
125,2018,58508,5
126,1969,24180,10
127,1988,50621,2
128,1977,892,6
129,1957,23024,13
130,1990,37876,10
131,1993,55767,13
132,2018,66577,14
133,1974,23880,7
134,1954,57351,7
135,1992,30858,4
136,2002,7856,14
137,1957,28264,5
138,1998,82863,4
139,1983,77345,9
140,2002,89869,11
141,1975,71777,14
142,2016,81862,9
143,1986,59101,11
144,2005,67159,5
145,1975,45636,8
146,1990,34593,13
147,1968,1347,7
148,1988,97841,13
149,1992,51141,12
150,1996,19653,7
151,1986,93980,12
152,2002,95650,5
153,1977,55917,10
154,2014,94749,4
155,1995,62372,11
156,2006,4095,3
157,1991,43285,4
158,2009,45602,12
159,1967,20330,13
160,1998,77543,14
161,1997,10504,4
162,1970,19108,14
163,1954,78492,1
164,1997,14034,3
165,1991,91438,5
166,2008,15969,9
167,1980,96122,11
168,1979,3751,12
169,1955,1811,14
170,1969,17821,2
171,1990,29875,9
172,1985,12923,6
173,1955,48097,4
174,1996,43407,6
175,2012,84015,14
176,1996,23594,10
177,2018,8079,14
178,1981,75648,11
179,1987,51782,6
180,2009,45410,3
181,2001,29410,5
182,1963,72058,14
183,1997,76004,13
184,1980,77291,8
185,1996,32539,14
186,1992,78735,2
187,1980,86960,9
188,1976,1448,6
189,1973,12458,14
190,1998,76003,12
191,1966,7035,11
192,2016,66502,13
193,1997,64208,3
194,2009,59638,2
195,1966,3051,3
196,1957,90905,13
197,1997,10065,7
198,1974,39174,4
199,1989,26119,7
200,1967,38334,4
201,1951,13628,11
202,1972,21883,13
203,2017,72993,6
204,1981,31852,5
205,1968,66560,5
206,2002,54232,11
207,1971,97856,5
208,2018,52106,1
209,1971,62158,5
210,1989,89112,12
211,1990,55868,10
212,2013,50625,12
213,1959,26488,14
214,1994,73126,2
215,1954,11694,8
216,1961,85150,1
217,1982,98896,9
218,2008,85378,12
219,1985,68339,3
220,2003,76577,11
221,2006,75191,3
222,2001,82976,5
223,1985,2132,10
224,1982,80630,10
225,1978,21201,4
226,2015,94043,11
227,1970,56628,2
228,1984,94507,2
229,1994,77835,5
230,2008,48438,9
231,1986,19101,2
232,1966,7137,8
233,1979,75107,7
234,2015,33584,2
235,1963,94958,14
236,1974,52150,8
237,1965,40180,5
238,1961,1566,1
239,1980,87225,3
240,2004,11621,8
241,1959,67776,5
242,1986,88925,5
243,2016,43752,1
244,2013,69233,9
245,1956,26554,9
246,1997,29218,7
247,1959,77645,9
248,2019,47802,1
249,1961,54955,4
250,2015,33999,7
251,1984,74842,12
252,2013,39698,14
253,1959,93798,7
254,1983,45571,2
255,1955,62841,2
256,2019,87995,2
257,1972,82540,7
258,2000,55935,1
259,2013,30840,4
260,1987,89171,13
261,1976,42046,4
262,2000,63323,13
263,2010,57649,7
264,1979,99171,2
265,1960,88880,4
266,1989,26134,14
267,1959,12465,5
268,1960,7769,14
269,1957,60139,12
270,1964,38286,10
271,1975,93347,3
272,1983,61979,13
273,1986,4185,7
274,1994,76180,7
275,1951,22213,7
276,1967,30401,10
277,1950,20712,3
278,1950,65982,9
279,2013,22402,2
280,2013,55307,7
281,1961,83982,4
282,2018,31345,14
283,2004,77562,11
284,1987,22120,6
285,2019,71776,11
286,1998,97333,14
287,1955,54510,4
288,1981,30292,4
289,1950,73082,1
290,2019,16950,11
291,2012,27236,10
292,1978,17987,1
293,1997,73214,10
294,1956,98887,4
295,1964,1450,6
296,2008,34702,11
297,1969,31218,8
298,1974,41031,8
299,1981,19118,9
300,2010,1378,13
301,1970,57384,10
302,1991,25978,14
303,1986,4151,14
304,1976,66895,5
305,2006,67130,14
306,2007,50795,14
307,1959,95049,10
308,1984,51601,13
309,1964,96616,4
310,1987,1367,6
311,1960,13667,4
312,1962,89159,5
313,1953,56420,3
314,1971,3627,3
315,1976,50530,10
316,1974,81826,9
317,1950,79012,7
318,1987,25855,1
319,1999,37396,13
320,2003,36235,11
321,2007,12350,4
322,1955,7257,12
323,1990,16622,7
324,1973,9765,4
325,1974,94354,11
326,1960,68595,6
327,1965,10107,6
328,1987,54721,13
329,2011,34177,11
330,1991,14890,2
331,2015,15238,3
332,2016,19357,10
333,2013,2864,7
334,1953,89068,11
335,2000,33439,3
336,1991,46692,8
337,1984,672,7
338,2003,7553,4
339,1973,1064,10
340,1977,39938,4
341,1959,29108,5
342,1974,36499,10
343,1987,69916,6
344,2010,37539,11
345,1989,1557,12
346,1984,37814,6
347,1965,17573,1
348,1992,47720,6
349,1995,79244,13
350,1963,67395,2
351,1955,55009,2
352,2016,11144,2
353,1963,8982,13
354,1963,47672,7
355,1993,80887,6
356,1993,45935,7
357,1996,45641,11
358,1951,75476,10
359,1963,16112,11
360,2018,59847,10
361,1951,223,4
