iter	Accuracy	Logloss
0	0.7058823529	0.660620613
1	0.7423529412	0.6296670949
2	0.7247058824	0.6077819398
3	0.7482352941	0.5867180149
4	0.7564705882	0.5694677003
5	0.7552941176	0.557677656
6	0.7517647059	0.5465889231
7	0.7729411765	0.5363804923
8	0.7741176471	0.5268226739
9	0.7694117647	0.5218956046
10	0.7741176471	0.5138849322
11	0.7788235294	0.5087668055
12	0.7847058824	0.5028503875
13	0.7870588235	0.4957061093
14	0.7905882353	0.4897118365
15	0.7905882353	0.4837611974
16	0.7952941176	0.4802201767
17	0.7988235294	0.4766883941
18	0.7988235294	0.4746260293
19	0.7964705882	0.4709270518
20	0.8058823529	0.4665798369
21	0.8058823529	0.4628050351
22	0.8094117647	0.4592424616
23	0.8105882353	0.4557175434
24	0.8117647059	0.4527038311
25	0.8141176471	0.45010454
26	0.8129411765	0.447029056
27	0.8152941176	0.4445550436
28	0.8129411765	0.4409277922
29	0.8164705882	0.4390523162
30	0.8176470588	0.4369921918
31	0.8176470588	0.4352698083
32	0.8176470588	0.4332774462
33	0.82	0.431389363
34	0.82	0.4286868318
35	0.8247058824	0.4253564962
36	0.8270588235	0.4238192813
37	0.8282352941	0.4212159497
38	0.8270588235	0.4210148924
39	0.8258823529	0.4190990082
40	0.8247058824	0.4181423712
41	0.8270588235	0.4158837004
42	0.8305882353	0.4129595748
43	0.8317647059	0.4111022829
44	0.8352941176	0.4090856576
45	0.8388235294	0.4082674837
46	0.84	0.4058039248
47	0.84	0.4040682105
48	0.8435294118	0.4027603609
49	0.8435294118	0.4001198562
50	0.8447058824	0.3974863409
51	0.8447058824	0.3952435515
52	0.8458823529	0.3935487666
53	0.8458823529	0.391883009
54	0.8470588235	0.3886627862
55	0.8494117647	0.3866079068
56	0.8505882353	0.384777372
57	0.8529411765	0.3814483297
58	0.8541176471	0.3786307605
59	0.8529411765	0.3765035022
60	0.8529411765	0.3754514369
61	0.8529411765	0.3751463073
62	0.8541176471	0.3744246637
63	0.8541176471	0.374283046
64	0.8564705882	0.3721209463
65	0.8564705882	0.3715035237
66	0.8576470588	0.3707366683
67	0.8552941176	0.369751668
68	0.8564705882	0.3691211706
69	0.8564705882	0.3689044974
70	0.86	0.3679688272
71	0.8588235294	0.3660211378
72	0.8611764706	0.3650752848
73	0.86	0.3628536997
74	0.8635294118	0.3617293339
75	0.8647058824	0.3606157766
76	0.8670588235	0.3605059342
77	0.8670588235	0.3604079647
78	0.8705882353	0.3591228968
79	0.8705882353	0.3584351151
80	0.8682352941	0.3563248829
81	0.8682352941	0.3562610809
82	0.8682352941	0.3553368528
83	0.8682352941	0.3549289711
84	0.8694117647	0.354570599
85	0.8705882353	0.3538324534
86	0.8717647059	0.3518877849
87	0.8717647059	0.351611487
88	0.8705882353	0.3507124203
89	0.8694117647	0.3498762328
90	0.8705882353	0.3485803255
91	0.8705882353	0.3485050192
92	0.8717647059	0.3466191447
93	0.8717647059	0.3444752332
94	0.8729411765	0.34403863
95	0.8717647059	0.3431276786
96	0.8717647059	0.3430215859
97	0.8741176471	0.3417506942
98	0.8764705882	0.3403970498
99	0.8764705882	0.3395825291
100	0.8776470588	0.3387178763
101	0.8764705882	0.3383263286
102	0.8776470588	0.3379458227
103	0.8776470588	0.3377884838
104	0.8776470588	0.3375871025
105	0.8776470588	0.3375124251
106	0.88	0.3359591425
107	0.8811764706	0.3358969651
108	0.8835294118	0.3345265255
109	0.8823529412	0.3344613897
110	0.8835294118	0.3342784908
111	0.8835294118	0.334198058
112	0.8823529412	0.3325746163
113	0.8835294118	0.3314317498
114	0.8835294118	0.3311886005
115	0.8847058824	0.3306419707
116	0.8870588235	0.3288989456
117	0.8882352941	0.3281452413
118	0.8870588235	0.3266630513
119	0.8870588235	0.3245057437
120	0.8882352941	0.3238140637
121	0.8882352941	0.321997007
122	0.8882352941	0.3215480082
123	0.8870588235	0.3198930227
124	0.8917647059	0.3183092258
125	0.8929411765	0.3177552843
126	0.8917647059	0.3173027353
127	0.8964705882	0.3161362284
128	0.8952941176	0.3158525988
129	0.8952941176	0.3154638552
130	0.8952941176	0.315308215
131	0.8964705882	0.3141666961
132	0.8941176471	0.3134771739
133	0.8964705882	0.3123245294
134	0.8976470588	0.3118022084
135	0.9	0.3116262316
136	0.8988235294	0.3107976027
137	0.8988235294	0.3095849838
138	0.9011764706	0.3094745439
139	0.9058823529	0.3088637924
140	0.9058823529	0.3087626719
141	0.9047058824	0.3083433394
142	0.9070588235	0.30761937
143	0.9070588235	0.3069536137
144	0.9070588235	0.3067033355
145	0.9070588235	0.3066562402
146	0.9070588235	0.3065610393
147	0.9094117647	0.3056233917
148	0.9105882353	0.3054839369
149	0.9105882353	0.3047503629
150	0.9094117647	0.3044151679
151	0.9070588235	0.3034933464
152	0.9082352941	0.3032402772
153	0.9070588235	0.3026676946
154	0.9082352941	0.3022369826
155	0.9058823529	0.301748969
156	0.9058823529	0.3012713776
157	0.9094117647	0.3007151747
158	0.9094117647	0.3004948056
159	0.9105882353	0.2992594677
160	0.9082352941	0.2967057193
161	0.9082352941	0.2959814399
162	0.9105882353	0.2944540648
163	0.9117647059	0.2932341881
164	0.9117647059	0.2930192324
165	0.9117647059	0.2928815416
166	0.9129411765	0.2924530279
167	0.9117647059	0.2905215175
168	0.9117647059	0.2904544572
169	0.9105882353	0.2899373327
