iter	Passed	Remaining
0	19	3373
1	49	4140
2	53	2973
3	58	2438
4	64	2133
5	68	1872
6	71	1673
7	76	1541
8	78	1411
9	80	1289
10	83	1200
11	85	1132
12	88	1072
13	92	1030
14	95	983
15	97	942
16	100	904
17	103	872
18	106	849
19	110	826
20	112	800
21	115	778
22	127	812
23	142	869
24	146	848
25	151	836
26	155	822
27	159	809
28	162	789
29	170	794
30	173	779
31	177	763
32	179	747
33	183	733
34	187	721
35	190	709
36	197	710
37	200	695
38	202	680
39	213	693
40	218	687
41	222	677
42	224	663
43	227	651
44	236	655
45	238	643
46	240	630
47	243	619
48	247	611
49	252	606
50	255	597
51	267	606
52	271	599
53	278	598
54	288	603
55	292	595
56	297	588
57	300	580
58	303	571
59	306	562
60	311	556
61	314	547
62	317	538
63	319	529
64	321	519
65	324	511
66	327	502
67	329	493
68	331	485
69	333	476
70	336	469
71	339	461
72	341	454
73	344	446
74	346	439
75	349	431
76	351	424
77	354	418
78	357	412
79	359	404
80	362	398
81	364	391
82	367	385
83	370	378
84	372	372
85	377	368
86	380	363
87	383	357
88	387	352
89	392	349
90	396	344
91	399	338
92	401	332
93	405	327
94	407	322
95	412	317
96	414	311
97	416	306
98	419	300
99	422	295
100	424	290
101	426	284
102	429	279
103	431	274
104	434	268
105	437	263
106	439	258
107	441	253
108	443	248
109	445	243
110	448	238
111	450	233
112	453	228
113	455	223
114	458	219
115	460	214
116	463	209
117	465	205
118	468	200
119	471	196
120	474	192
121	477	187
122	479	183
123	482	178
124	485	174
125	487	170
126	491	166
127	494	162
128	497	158
129	501	154
130	508	151
131	511	147
132	515	143
133	522	140
134	526	136
135	529	132
136	533	128
137	538	124
138	542	120
139	545	116
140	548	112
141	551	108
142	554	104
143	557	100
144	559	96
145	563	92
146	566	88
147	569	84
148	571	80
149	574	76
150	577	72
151	580	68
152	583	64
153	586	60
154	588	56
155	590	53
156	593	49
157	596	45
158	599	41
159	602	37
160	604	33
161	607	29
162	610	26
163	612	22
164	615	18
165	618	14
166	623	11
167	627	7
168	633	3
169	640	0
