X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,Y
1,-12,1,0.05,1,5,1.00,c,a,1.00,a,34,c,b,2,c,1,yes,1
2,30,3,0.31,2,3,0.33,b,a,0.33,a,-11,c,b,1,c,1,yes,2
0,-6,1,0.10,2,4,0.33,c,a,0.67,a,16,c,b,1,b,2,yes,1
1,24,3,0.42,2,4,0.33,c,c,1.00,b,12,c,c,1,c,2,yes,1
1,6,2,0.25,2,3,0.67,c,a,1.00,d,20,c,c,2,c,2,yes,2
0,18,3,0.48,1,3,0.33,c,a,1.00,d,2,c,c,1,b,2,yes,1
0,6,3,0.14,4,5,0.67,c,a,1.00,b,20,c,b,1,c,1,yes,1
2,18,3,0.37,2,3,0.33,c,a,0.33,c,2,c,a,1,d,1,yes,1
0,-6,3,0.15,5,4,0.33,a,a,1.00,a,28,c,b,1,b,1,yes,1
2,12,1,0.27,2,1,1.00,d,a,0.33,c,-5,c,b,2,d,1,yes,2
2,-6,3,0.06,2,2,0.67,b,a,0.00,c,-8,c,a,1,c,1,yes,2
1,30,3,0.06,2,2,0.67,b,a,1.00,b,-9,c,a,1,c,1,yes,2
2,-6,3,0.07,2,3,0.00,b,a,0.00,c,-11,c,b,1,c,1,yes,1
1,6,1,0.05,2,5,1.00,c,a,1.00,c,27,c,b,2,b,1,yes,2
1,-3,3,0.06,2,3,0.33,b,a,1.00,c,-5,c,a,1,c,1,yes,1
1,6,3,0.06,3,3,1.00,b,a,0.33,c,-1,c,b,1,b,1,yes,2
0,6,1,0.12,1,5,1.00,c,a,1.00,b,20,c,b,2,c,1,yes,1
1,12,5,0.43,1,2,0.33,c,a,0.67,c,-8,a,b,3,c,1,yes,1
2,6,3,0.68,2,5,1.00,b,a,0.33,d,11,c,c,1,d,1,yes,2
0,6,3,0.17,4,5,0.67,c,a,0.33,c,-2,c,b,1,c,2,yes,1
0,-9,1,0.10,2,3,1.00,c,a,1.00,c,15,c,b,3,c,1,yes,1
1,-12,3,0.13,4,3,0.33,c,a,0.67,a,11,c,a,1,c,2,yes,1
1,-8,1,0.11,2,2,0.00,c,a,0.67,a,15,c,a,2,b,2,no,1
2,-6,1,0.09,3,2,0.67,c,a,1.00,b,11,c,b,1,c,1,yes,1
0,-8,1,0.10,1,3,0.33,d,a,0.00,c,-7,c,b,2,c,1,no,1
1,-12,3,0.06,2,3,0.00,c,a,0.33,a,3,a,b,1,b,1,yes,1
0,-12,5,0.01,2,5,1.00,d,a,1.00,c,6,c,b,1,b,1,yes,1
3,-6,4,0.01,5,3,0.67,b,a,0.67,a,9,c,b,2,c,1,yes,1
2,-11,3,0.12,2,3,0.67,c,c,0.33,a,1,c,b,1,c,1,yes,1
1,42,2,0.36,2,5,0.67,c,a,1.00,d,30,c,b,2,c,1,yes,2
2,0,3,0.09,5,2,0.67,d,a,0.67,a,3,a,b,1,c,1,yes,1
1,6,3,0.21,2,3,0.33,c,a,0.33,c,-6,b,b,1,c,1,yes,1
2,0,3,0.31,3,3,0.33,c,a,0.33,c,-3,c,b,2,c,1,yes,1
0,3,1,0.06,1,5,1.00,c,a,1.00,d,24,c,a,1,b,1,yes,1
3,-6,3,0.07,2,2,1.00,b,a,0.00,b,0,a,b,1,d,1,yes,1
2,27,1,0.25,2,2,1.00,c,a,0.33,b,-8,c,b,2,b,1,yes,2
0,30,1,0.32,2,3,0.00,c,a,0.67,d,-2,a,c,1,c,1,yes,1
3,0,3,0.10,2,3,1.00,c,b,0.33,a,4,b,b,1,c,1,yes,2
3,-8,3,0.05,2,3,0.33,c,a,0.33,c,4,c,b,1,c,1,yes,1
2,-9,3,0.01,2,3,1.00,c,a,1.00,a,-9,c,b,1,c,1,yes,1
0,12,3,0.06,4,5,1.00,c,a,0.33,c,-3,a,b,1,d,1,yes,1
2,-6,3,0.05,4,3,0.67,a,a,0.00,c,-7,c,b,1,c,1,yes,1
2,0,2,0.33,2,3,0.33,c,a,1.00,a,11,c,b,1,b,2,yes,1
1,12,1,0.33,3,4,0.00,d,a,1.00,c,-9,c,a,2,c,1,yes,1
1,30,1,0.32,2,5,1.00,b,a,1.00,d,25,b,c,2,b,1,yes,2
0,-7,1,0.06,2,2,1.00,b,a,1.00,c,2,c,b,2,d,1,yes,1
0,18,3,0.11,4,5,1.00,c,a,1.00,c,6,c,b,1,c,1,yes,1
1,-12,3,0.06,4,1,0.00,b,a,0.33,b,-10,c,a,1,a,1,yes,1
0,-7,1,0.38,2,3,0.00,c,a,1.00,b,6,c,b,2,b,1,yes,1
